item_id,topic,subtype,prompt_text,image_file,correct_answer,notes
ORG001,organic,name_from_image,,images/Slide1.PNG,"1,2-dimethylcyclopentane",
ORG002,organic,name_from_image,,images/Slide2.PNG,"1,4-dibromobenzene",
ORG003,organic,name_from_image,,images/Slide3.PNG,"2,3-dimethyloctane",
DA001,dimensional,,,images/Slide21.PNG,18.1 m/s||18.05 m/s,
DA002,dimensional,,,images/Slide22.PNG,47.3 L||47.3 l,
DA003,dimensional,,,images/Slide23.PNG,0.9868 atm,
DA004,dimensional,,,images/Slide24.PNG,55.0 kPa,
DA005,dimensional,,,images/Slide25.PNG,1.51x10^24 molecules||1.51 x 10^24 molecules,
DA006,dimensional,,,images/Slide26.PNG,74.09 g/mol||74.092 g/mol,
DA007,dimensional,,,images/Slide27.PNG,18.2 g Mg,
DA008,dimensional,,,images/Slide28.PNG,83.30%,
DA009,dimensional,,,images/Slide29.PNG,80.00%,
DA010,dimensional,,,images/Slide30.PNG,39.7 g H2O,
DA011,dimensional,,,images/Slide31.PNG,29.4 g O2,
DA012,dimensional,,,images/Slide32.PNG,14.3 g Fe2O3,
DA013,dimensional,,,images/Slide33.PNG,1.33 mol NH3,
DA014,dimensional,,,images/Slide34.PNG,6.00 mol O2,
DA015,dimensional,,,images/Slide35.PNG,119 cal||119 calories,
DA016,dimensional,,,images/Slide36.PNG,0.100 mol AlCl3,
DA017,dimensional,,,images/Slide37.PNG,HCl,
DA018,dimensional,,,images/Slide38.PNG,45.7 g CaCl2,
DA019,dimensional,,,images/Slide39.PNG,14.6 g NaCl,
DA020,dimensional,,,images/Slide40.PNG,29.4 g O2,
INORG001,inorganic,,,images/Slide41.PNG,NaCl,
INORG002,inorganic,,,images/Slide42.PNG,potassium bromide,
INORG003,inorganic,,,images/Slide43.PNG,calcium sulfide,
INORG004,inorganic,,,images/Slide44.PNG,Mg(OH)2,
INORG005,inorganic,,,images/Slide45.PNG,sodium nitrate,
INORG006,inorganic,,,images/Slide46.PNG,Fe(NO3)2,
INORG007,inorganic,,,images/Slide47.PNG,lead(II) chromate||plumbous chromate,
INORG008,inorganic,,,images/Slide48.PNG,Co(OH)3,
INORG009,inorganic,,,images/Slide49.PNG,copper(II) sulfate pentahydrate||cupric sulfate pentahydrate,
INORG010,inorganic,,,images/Slide50.PNG,H3PO4||H3PO4(aq),
INORG011,inorganic,,,images/Slide51.PNG,Sn3(PO4)2,
INORG012,inorganic,,,images/Slide52.PNG,Na2CO3*10H2O||Na2CO3*10 H2O,
INORG013,inorganic,,,images/Slide53.PNG,+7||VII,
INORG014,inorganic,,,images/Slide54.PNG,+6||VI,
INORG015,inorganic,,,images/Slide55.PNG,diphosphorus pentoxide||phosphorus(V) oxide,
INORG016,inorganic,,,images/Slide56.PNG,BaSO3,
INORG017,inorganic,,,images/Slide57.PNG,+3||III,
INORG018,inorganic,,,images/Slide58.PNG,-III||-3,
INORG019,inorganic,,,images/Slide59.PNG,+7||VII,
INORG020,inorganic,,,images/Slide60.PNG,Co2(CO3)3,
